"Missing social security number","Inget personnummer angivet"
"Unable to fetch address information","Vi kunde inte hämta dina adressuppgifter"
"Unable to set address","Kunde inte spara adress"
"Social security number not set","Personnummer inte satt"
"Reservation missing","Reservation saknas"
"Reservation number","Reservations-ID"
"PDF Invoice","PDF-faktura"
"Invoice fee:","Fakturaavgift:"
"Invoice fee","Fakturaavgift"
"No items found in quote","Inga produkter finns i varukorgen"
"No items found in credit memo!","Inga produkter finns i kreditfakturan"
"Pclass selection not set","Ett fel har uppstått. Kontrollera valen för betalsättet."
"Refund","Återbetalning"
